ID;Survived;PClass;Name;Sex;Age;SibSp;Parch;Fare;Embarked
704;No;3;Gallagher, Mr. Martin;Male;25;0;0;7,7417;Q
705;No;3;Hansen, Mr. Henrik Juul;Male;26;1;0;7,8542;S
706;No;2;Morley, Mr. Henry Samuel ("Mr Henry Marshall");Male;39;0;0;26;S
707;Yes;2;Kelly, Mrs. Florence "Fannie";Female;45;0;0;13,5;S
708;Yes;1;Calderhead, Mr. Edward Pennington;Male;42;0;0;26,2875;S
709;Yes;1;Cleaver, Miss. Alice;Female;22;0;0;151,55;S
710;Yes;3;Moubarek, Master. Halim Gonios ("William George");Male;NA;1;1;15,2458;C
711;Yes;1;Mayne, Mlle. Berthe Antonine ("Mrs de Villiers");Female;24;0;0;49,5042;C
712;No;1;Klaber, Mr. Herman;Male;NA;0;0;26,55;S
713;Yes;1;Taylor, Mr. Elmer Zebley;Male;48;1;0;52;S
714;No;3;Larsson, Mr. August Viktor;Male;29;0;0;9,4833;S
715;No;2;Greenberg, Mr. Samuel;Male;52;0;0;13;S
716;No;3;Soholt, Mr. Peter Andreas Lauritz Andersen;Male;19;0;0;7,65;S
717;Yes;1;Endres, Miss. Caroline Louise;Female;38;0;0;227,525;C
718;Yes;2;Troutt, Miss. Edwina Celia "Winnie";Female;27;0;0;10,5;S
719;No;3;McEvoy, Mr. Michael;Male;NA;0;0;15,5;Q
720;No;3;Johnson, Mr. Malkolm Joackim;Male;33;0;0;7,775;S
721;Yes;2;Harper, Miss. Annie Jessie "Nina";Female;6;0;1;33;S
722;No;3;Jensen, Mr. Svend Lauritz;Male;17;1;0;7,0542;S
723;No;2;Gillespie, Mr. William Henry;Male;34;0;0;13;S
724;No;2;Hodges, Mr. Henry Price;Male;50;0;0;13;S
725;Yes;1;Chambers, Mr. Norman Campbell;Male;27;1;0;53,1;S
726;No;3;Oreskovic, Mr. Luka;Male;20;0;0;8,6625;S
727;Yes;2;Renouf, Mrs. Peter Henry (Lillian Jefferys);Female;30;3;0;21;S
728;Yes;3;Mannion, Miss. Margareth;Female;NA;0;0;7,7375;Q
729;No;2;Bryhl, Mr. Kurt Arnold Gottfrid;Male;25;1;0;26;S
730;No;3;Ilmakangas, Miss. Pieta Sofia;Female;25;1;0;7,925;S
731;Yes;1;Allen, Miss. Elisabeth Walton;Female;29;0;0;211,3375;S
732;No;3;Hassan, Mr. Houssein G N;Male;11;0;0;18,7875;C
733;No;2;Knight, Mr. Robert J;Male;NA;0;0;0;S
734;No;2;Berriman, Mr. William John;Male;23;0;0;13;S
735;No;2;Troupiansky, Mr. Moses Aaron;Male;23;0;0;13;S
736;No;3;Williams, Mr. Leslie;Male;28,5;0;0;16,1;S
737;No;3;Ford, Mrs. Edward (Margaret Ann Watson);Female;48;1;3;34,375;S
738;Yes;1;Lesurer, Mr. Gustave J;Male;35;0;0;512,3292;C
739;No;3;Ivanoff, Mr. Kanio;Male;NA;0;0;7,8958;S
740;No;3;Nankoff, Mr. Minko;Male;NA;0;0;7,8958;S
741;Yes;1;Hawksford, Mr. Walter James;Male;NA;0;0;30;S
742;No;1;Cavendish, Mr. Tyrell William;Male;36;1;0;78,85;S
743;Yes;1;Ryerson, Miss. Susan Parker "Suzette";Female;21;2;2;262,375;C
744;No;3;McNamee, Mr. Neal;Male;24;1;0;16,1;S
745;Yes;3;Stranden, Mr. Juho;Male;31;0;0;7,925;S
746;No;1;Crosby, Capt. Edward Gifford;Male;70;1;1;71;S
747;No;3;Abbott, Mr. Rossmore Edward;Male;16;1;1;20,25;S
748;Yes;2;Sinkkonen, Miss. Anna;Female;30;0;0;13;S
749;No;1;Marvin, Mr. Daniel Warner;Male;19;1;0;53,1;S
750;No;3;Connaghton, Mr. Michael;Male;31;0;0;7,75;Q
751;Yes;2;Wells, Miss. Joan;Female;4;1;1;23;S
752;Yes;3;Moor, Master. Meier;Male;6;0;1;12,475;S
753;No;3;Vande Velde, Mr. Johannes Joseph;Male;33;0;0;9,5;S
754;No;3;Jonkoff, Mr. Lalio;Male;23;0;0;7,8958;S
755;Yes;2;Herman, Mrs. Samuel (Jane Laver);Female;48;1;2;65;S
756;Yes;2;Hamalainen, Master. Viljo;Male;0,67;1;1;14,5;S
757;No;3;Carlsson, Mr. August Sigfrid;Male;28;0;0;7,7958;S
758;No;2;Bailey, Mr. Percy Andrew;Male;18;0;0;11,5;S
759;No;3;Theobald, Mr. Thomas Leonard;Male;34;0;0;8,05;S
760;Yes;1;Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards);Female;33;0;0;86,5;S
761;No;3;Garfirth, Mr. John;Male;NA;0;0;14,5;S
762;No;3;Nirva, Mr. Iisakki Antino Aijo;Male;41;0;0;7,125;S
763;Yes;3;Barah, Mr. Hanna Assi;Male;20;0;0;7,2292;C
764;Yes;1;Carter, Mrs. William Ernest (Lucile Polk);Female;36;1;2;120;S
765;No;3;Eklund, Mr. Hans Linus;Male;16;0;0;7,775;S
766;Yes;1;Hogeboom, Mrs. John C (Anna Andrews);Female;51;1;0;77,9583;S
767;No;1;Brewe, Dr. Arthur Jackson;Male;NA;0;0;39,6;C
768;No;3;Mangan, Miss. Mary;Female;30,5;0;0;7,75;Q
769;No;3;Moran, Mr. Daniel J;Male;NA;1;0;24,15;Q
770;No;3;Gronnestad, Mr. Daniel Danielsen;Male;32;0;0;8,3625;S
771;No;3;Lievens, Mr. Rene Aime;Male;24;0;0;9,5;S
772;No;3;Jensen, Mr. Niels Peder;Male;48;0;0;7,8542;S
773;No;2;Mack, Mrs. (Mary);Female;57;0;0;10,5;S
774;No;3;Elias, Mr. Dibo;Male;NA;0;0;7,225;C
775;Yes;2;Hocking, Mrs. Elizabeth (Eliza Needs);Female;54;1;3;23;S
776;No;3;Myhrman, Mr. Pehr Fabian Oliver Malkolm;Male;18;0;0;7,75;S
777;No;3;Tobin, Mr. Roger;Male;NA;0;0;7,75;Q
778;Yes;3;Emanuel, Miss. Virginia Ethel;Female;5;0;0;12,475;S
779;No;3;Kilgannon, Mr. Thomas J;Male;NA;0;0;7,7375;Q
780;Yes;1;Robert, Mrs. Edward Scott (Elisabeth Walton McMillan);Female;43;0;1;211,3375;S
781;Yes;3;Ayoub, Miss. Banoura;Female;13;0;0;7,2292;C
782;Yes;1;Dick, Mrs. Albert Adrian (Vera Gillespie);Female;17;1;0;57;S
783;No;1;Long, Mr. Milton Clyde;Male;29;0;0;30;S
784;No;3;Johnston, Mr. Andrew G;Male;NA;1;2;23,45;S
785;No;3;Ali, Mr. William;Male;25;0;0;7,05;S
786;No;3;Harmer, Mr. Abraham (David Lishin);Male;25;0;0;7,25;S
787;Yes;3;Sjoblom, Miss. Anna Sofia;Female;18;0;0;7,4958;S
788;No;3;Rice, Master. George Hugh;Male;8;4;1;29,125;Q
789;Yes;3;Dean, Master. Bertram Vere;Male;1;1;2;20,575;S
790;No;1;Guggenheim, Mr. Benjamin;Male;46;0;0;79,2;C
791;No;3;Keane, Mr. Andrew "Andy";Male;NA;0;0;7,75;Q
792;No;2;Gaskell, Mr. Alfred;Male;16;0;0;26;S
793;No;3;Sage, Miss. Stella Anna;Female;NA;8;2;69,55;S
794;No;1;Hoyt, Mr. William Fisher;Male;NA;0;0;30,6958;C
795;No;3;Dantcheff, Mr. Ristiu;Male;25;0;0;7,8958;S
796;No;2;Otter, Mr. Richard;Male;39;0;0;13;S
797;Yes;1;Leader, Dr. Alice (Farnham);Female;49;0;0;25,9292;S
798;Yes;3;Osman, Mrs. Mara;Female;31;0;0;8,6833;S
799;No;3;Ibrahim Shawah, Mr. Yousseff;Male;30;0;0;7,2292;C
800;No;3;Van Impe, Mrs. Jean Baptiste (Rosalie Paula Govaert);Female;30;1;1;24,15;S
801;No;2;Ponesell, Mr. Martin;Male;34;0;0;13;S
802;Yes;2;Collyer, Mrs. Harvey (Charlotte Annie Tate);Female;31;1;1;26,25;S
803;Yes;1;Carter, Master. William Thornton II;Male;11;1;2;120;S
804;Yes;3;Thomas, Master. Assad Alexander;Male;0,42;0;1;8,5167;C
805;Yes;3;Hedman, Mr. Oskar Arvid;Male;27;0;0;6,975;S
806;No;3;Johansson, Mr. Karl Johan;Male;31;0;0;7,775;S
807;No;1;Andrews, Mr. Thomas Jr;Male;39;0;0;0;S
808;No;3;Pettersson, Miss. Ellen Natalia;Female;18;0;0;7,775;S
809;No;2;Meyer, Mr. August;Male;39;0;0;13;S
810;Yes;1;Chambers, Mrs. Norman Campbell (Bertha Griggs);Female;33;1;0;53,1;S
811;No;3;Alexander, Mr. William;Male;26;0;0;7,8875;S
812;No;3;Lester, Mr. James;Male;39;0;0;24,15;S
813;No;2;Slemen, Mr. Richard James;Male;35;0;0;10,5;S
814;No;3;Andersson, Miss. Ebba Iris Alfrida;Female;6;4;2;31,275;S
815;No;3;Tomlin, Mr. Ernest Portage;Male;30,5;0;0;8,05;S
816;No;1;Fry, Mr. Richard;Male;NA;0;0;0;S
817;No;3;Heininen, Miss. Wendla Maria;Female;23;0;0;7,925;S
818;No;2;Mallet, Mr. Albert;Male;31;1;1;37,0042;C
819;No;3;Holm, Mr. John Fredrik Alexander;Male;43;0;0;6,45;S
820;No;3;Skoog, Master. Karl Thorsten;Male;10;3;2;27,9;S
821;Yes;1;Hays, Mrs. Charles Melville (Clara Jennings Gregg);Female;52;1;1;93,5;S
822;Yes;3;Lulic, Mr. Nikola;Male;27;0;0;8,6625;S
823;No;1;Reuchlin, Jonkheer. John George;Male;38;0;0;0;S
824;Yes;3;Moor, Mrs. (Beila);Female;27;0;1;12,475;S
825;No;3;Panula, Master. Urho Abraham;Male;2;4;1;39,6875;S
826;No;3;Flynn, Mr. John;Male;NA;0;0;6,95;Q
827;No;3;Lam, Mr. Len;Male;NA;0;0;56,4958;S
828;Yes;2;Mallet, Master. Andre;Male;1;0;2;37,0042;C
829;Yes;3;McCormack, Mr. Thomas Joseph;Male;NA;0;0;7,75;Q
830;Yes;1;Stone, Mrs. George Nelson (Martha Evelyn);Female;62;0;0;80;NA
831;Yes;3;Yasbeck, Mrs. Antoni (Selini Alexander);Female;15;1;0;14,4542;C
832;Yes;2;Richards, Master. George Sibley;Male;0,83;1;1;18,75;S
833;No;3;Saad, Mr. Amin;Male;NA;0;0;7,2292;C
834;No;3;Augustsson, Mr. Albert;Male;23;0;0;7,8542;S
835;No;3;Allum, Mr. Owen George;Male;18;0;0;8,3;S
836;Yes;1;Compton, Miss. Sara Rebecca;Female;39;1;1;83,1583;C
837;No;3;Pasic, Mr. Jakob;Male;21;0;0;8,6625;S
838;No;3;Sirota, Mr. Maurice;Male;NA;0;0;8,05;S
839;Yes;3;Chip, Mr. Chang;Male;32;0;0;56,4958;S
840;Yes;1;Marechal, Mr. Pierre;Male;NA;0;0;29,7;C
841;No;3;Alhomaki, Mr. Ilmari Rudolf;Male;20;0;0;7,925;S
842;No;2;Mudd, Mr. Thomas Charles;Male;16;0;0;10,5;S
843;Yes;1;Serepeca, Miss. Augusta;Female;30;0;0;31;C
844;No;3;Lemberopolous, Mr. Peter L;Male;34,5;0;0;6,4375;C
845;No;3;Culumovic, Mr. Jeso;Male;17;0;0;8,6625;S
846;No;3;Abbing, Mr. Anthony;Male;42;0;0;7,55;S
847;No;3;Sage, Mr. Douglas Bullen;Male;NA;8;2;69,55;S
848;No;3;Markoff, Mr. Marin;Male;35;0;0;7,8958;C
849;No;2;Harper, Rev. John;Male;28;0;1;33;S
850;Yes;1;Goldenberg, Mrs. Samuel L (Edwiga Grabowska);Female;NA;1;0;89,1042;C
851;No;3;Andersson, Master. Sigvard Harald Elias;Male;4;4;2;31,275;S
852;No;3;Svensson, Mr. Johan;Male;74;0;0;7,775;S
853;No;3;Boulos, Miss. Nourelain;Female;9;1;1;15,2458;C
854;Yes;1;Lines, Miss. Mary Conover;Female;16;0;1;39,4;S
855;No;2;Carter, Mrs. Ernest Courtenay (Lilian Hughes);Female;44;1;0;26;S
856;Yes;3;Aks, Mrs. Sam (Leah Rosen);Female;18;0;1;9,35;S
857;Yes;1;Wick, Mrs. George Dennick (Mary Hitchcock);Female;45;1;1;164,8667;S
858;Yes;1;Daly, Mr. Peter Denis ;Male;51;0;0;26,55;S
859;Yes;3;Baclini, Mrs. Solomon (Latifa Qurban);Female;24;0;3;19,2583;C
860;No;3;Razi, Mr. Raihed;Male;NA;0;0;7,2292;C
861;No;3;Hansen, Mr. Claus Peter;Male;41;2;0;14,1083;S
862;No;2;Giles, Mr. Frederick Edward;Male;21;1;0;11,5;S
863;Yes;1;Swift, Mrs. Frederick Joel (Margaret Welles Barron);Female;48;0;0;25,9292;S
864;No;3;Sage, Miss. Dorothy Edith "Dolly";Female;NA;8;2;69,55;S
865;No;2;Gill, Mr. John William;Male;24;0;0;13;S
866;Yes;2;Bystrom, Mrs. (Karolina);Female;42;0;0;13;S
867;Yes;2;Duran y More, Miss. Asuncion;Female;27;1;0;13,8583;C
868;No;1;Roebling, Mr. Washington Augustus II;Male;31;0;0;50,4958;S
869;No;3;van Melkebeke, Mr. Philemon;Male;NA;0;0;9,5;S
870;Yes;3;Johnson, Master. Harold Theodor;Male;4;1;1;11,1333;S
871;No;3;Balkic, Mr. Cerin;Male;26;0;0;7,8958;S
872;Yes;1;Beckwith, Mrs. Richard Leonard (Sallie Monypeny);Female;47;1;1;52,5542;S
873;No;1;Carlsson, Mr. Frans Olof;Male;33;0;0;5;S
874;No;3;Vander Cruyssen, Mr. Victor;Male;47;0;0;9;S
875;Yes;2;Abelson, Mrs. Samuel (Hannah Wizosky);Female;28;1;0;24;C
876;Yes;3;Najib, Miss. Adele Kiamie "Jane";Female;15;0;0;7,225;C
877;No;3;Gustafsson, Mr. Alfred Ossian;Male;20;0;0;9,8458;S
878;No;3;Petroff, Mr. Nedelio;Male;19;0;0;7,8958;S
879;No;3;Laleff, Mr. Kristo;Male;NA;0;0;7,8958;S
880;Yes;1;Potter, Mrs. Thomas Jr (Lily Alexenia Wilson);Female;56;0;1;83,1583;C
881;Yes;2;Shelley, Mrs. William (Imanita Parrish Hall);Female;25;0;1;26;S
882;No;3;Markun, Mr. Johann;Male;33;0;0;7,8958;S
883;No;3;Dahlberg, Miss. Gerda Ulrika;Female;22;0;0;10,5167;S
884;No;2;Banfield, Mr. Frederick James;Male;28;0;0;10,5;S
885;No;3;Sutehall, Mr. Henry Jr;Male;25;0;0;7,05;S
886;No;3;Rice, Mrs. William (Margaret Norton);Female;39;0;5;29,125;Q
887;No;2;Montvila, Rev. Juozas;Male;27;0;0;13;S
888;Yes;1;Graham, Miss. Margaret Edith;Female;19;0;0;30;S
889;No;3;Johnston, Miss. Catherine Helen "Carrie";Female;NA;1;2;23,45;S
890;Yes;1;Behr, Mr. Karl Howell;Male;26;0;0;30;C
891;No;3;Dooley, Mr. Patrick;Male;32;0;0;7,75;Q
